Car Model,Country,City,Price,QuantitySold,Sale,DateOfSale,CustomerID,CustomerName,Age,Gender,CarMake,CarModel,Year,CarType,PaymentMethod,SalespersonID,SalespersonName,DealershipLocation,Profit
Audi A4,Italy,Milan,88214,10,882140,2038-02-27,CUST04880,Daniel Matthews,38,Female,Honda,Toyota Corolla,2011,Minivan,Lease,SP047,Ricky Gallagher,"North Hollyland, Central African Republic",8802
Audi A4,Japan,Yokohama,58058,4,232232,2038-02-28,CUST04881,Danielle Pena,55,Male,Chevrolet,Ford Focus,2006,Truck,Cash,SP061,Sergio Woodard,"Lake Craigview, Micronesia",6553
Hyundai Elantra,Australia,Perth,15989,9,143901,2038-03-01,CUST04882,Marc Hawkins,36,Non-binary,Ford,Kia Optima,2014,Convertible,Cash,SP024,Erin Mcgrath,"Williamsstad, Portugal",2931
Audi A4,Canada,Vancouver,24109,1,24109,2038-03-02,CUST04883,William Robles,24,Female,Audi,BMW 3 Series,2001,Hatchback,Cash,SP099,Dr. Tara Tran,"Reyesland, Ecuador",2766
Audi A4,France,Nice,56991,5,284955,2038-03-03,CUST04884,Andrew Clark,60,Female,Kia,BMW 3 Series,2011,Sedan,Credit Card,SP061,Samuel Schultz,"Nelsonshire, Hong Kong",12776
Toyota Corolla,Italy,Turin,51579,7,361053,2038-03-04,CUST04885,Brittany Hernandez,61,Female,Honda,Audi A4,2015,Truck,Bank Transfer,SP059,Rachel Smith,"Conwayshire, Niger",7604
Honda Civic,Japan,Yokohama,43302,1,43302,2038-03-05,CUST04886,Denise Franklin,38,Non-binary,Nissan,Hyundai Elantra,2023,Minivan,Lease,SP024,Jack Caldwell,"Tiffanybury, Rwanda",1290
Audi A4,Germany,Berlin,89523,9,805707,2038-03-06,CUST04887,Christine Schmidt,48,Male,Chevrolet,Audi A4,2008,SUV,Bank Transfer,SP025,Bridget White,"South Lindseymouth, Uruguay",7627
Kia Optima,Canada,Montreal,10028,5,50140,2038-03-07,CUST04888,Bradley Wilson,69,Female,Hyundai,Kia Optima,2006,Sedan,Lease,SP045,Colleen Ramirez,"West Heather, New Caledonia",4114
Nissan Altima,France,Nice,57978,10,579780,2038-03-08,CUST04889,Barbara Ramos,44,Non-binary,Mercedes,Honda Civic,2013,Sedan,Credit Card,SP064,Christopher Anderson,"South Russell, Christmas Island",12772
BMW 3 Series,China,Guangzhou,80969,5,404845,2038-03-09,CUST04890,Dawn Brown,21,Female,Honda,Nissan Altima,2015,Minivan,Cash,SP045,Hannah West,"South Ryan, Vanuatu",10938
Kia Optima,France,Marseille,78951,2,157902,2038-03-10,CUST04891,Dr. Justin Martin,19,Non-binary,Chevrolet,Nissan Altima,2022,Truck,Bank Transfer,SP100,Norma Bradley,"North Danielle, British Indian Ocean Territory (Chagos Archipelago)",3837
Hyundai Elantra,Australia,Adelaide,84826,8,678608,2038-03-11,CUST04892,Olivia Porter,49,Female,Mercedes,Toyota Corolla,2016,Sedan,Lease,SP073,Robert Chapman,"Frankside, Antarctica (the territory South of 60 deg S)",3386
Honda Civic,USA,Phoenix,13703,10,137030,2038-03-12,CUST04893,Joan Alexander,64,Female,Toyota,Toyota Corolla,2016,Minivan,Cash,SP037,Larry Smith,"Debraton, New Zealand",4036
BMW 3 Series,China,Guangzhou,28010,3,84030,2038-03-13,CUST04894,Nicole Walsh,18,Non-binary,Hyundai,Nissan Altima,2020,Sedan,Lease,SP100,Corey Martinez,"East David, Burundi",10035
Nissan Altima,Canada,Ottawa,32278,6,193668,2038-03-14,CUST04895,Derrick Garcia,54,Non-binary,Kia,Ford Focus,2007,Hatchback,Lease,SP036,Ryan Adams,"North Davidville, Holy See (Vatican City State)",7711
Honda Civic,Germany,Munich,96432,3,289296,2038-03-15,CUST04896,Bryan Scott PhD,34,Non-binary,Honda,Chevrolet Malibu,2016,Minivan,Cash,SP003,Gina Green,"East Rebecca, Madagascar",7232
Ford Focus,India,Hyderabad,94384,4,377536,2038-03-16,CUST04897,Jonathan Perez Jr.,42,Female,Ford,Mercedes C-Class,2011,Hatchback,Lease,SP019,Ryan Lee,"Brownshire, Vanuatu",5291
Mercedes C-Class,Japan,Nagoya,38337,5,191685,2038-03-17,CUST04898,Deborah Taylor,57,Non-binary,Honda,Nissan Altima,2000,Truck,Cash,SP035,Caitlin Foster,"Karaberg, Jersey",14007
Hyundai Elantra,UK,London,13842,10,138420,2038-03-18,CUST04899,Matthew Anderson,38,Female,Mercedes,Toyota Corolla,2000,Minivan,Credit Card,SP061,Hector Casey,"Williamsberg, Reunion",10172
Hyundai Elantra,USA,Los Angeles,80452,3,241356,2038-03-19,CUST04900,Amber Bennett,41,Non-binary,Toyota,Hyundai Elantra,2022,Minivan,Credit Card,SP008,Matthew Austin,"Jeffreyport, Mongolia",14279
Chevrolet Malibu,Germany,Cologne,50796,1,50796,2038-03-20,CUST04901,Crystal Maldonado,20,Female,Honda,Audi A4,2010,Sedan,Bank Transfer,SP047,Laura Shaw,"East Amberchester, Isle of Man",12750
Honda Civic,Canada,Calgary,91819,2,183638,2038-03-21,CUST04902,Wayne Fernandez,38,Female,BMW,Hyundai Elantra,2015,Hatchback,Cash,SP035,Dalton Blackwell,"Orozcoshire, Falkland Islands (Malvinas)",6235
Mercedes C-Class,Germany,Berlin,22522,10,225220,2038-03-22,CUST04903,Deborah Anderson,52,Female,Audi,Hyundai Elantra,2000,Hatchback,Bank Transfer,SP093,Lauren Campbell,"North Willieville, Belarus",7577
Ford Focus,Japan,Osaka,42919,2,85838,2038-03-23,CUST04904,Terri Evans,62,Non-binary,Audi,Audi A4,2014,Sedan,Credit Card,SP060,Mary Edwards,"Johnsonfurt, Reunion",2535
Nissan Altima,USA,Phoenix,99381,7,695667,2038-03-24,CUST04905,Patricia Anderson,32,Male,Nissan,Mercedes C-Class,2019,Truck,Lease,SP043,Jamie Little,"South Claudia, Tuvalu",9784
Mercedes C-Class,Italy,Naples,53049,9,477441,2038-03-25,CUST04906,Dennis Fuller,72,Non-binary,Hyundai,Toyota Corolla,2023,Minivan,Bank Transfer,SP017,Patricia Jones,"Port Jasmineville, Bulgaria",12743
BMW 3 Series,France,Nice,53193,8,425544,2038-03-26,CUST04907,David Thompson,30,Non-binary,Nissan,Ford Focus,2001,Coupe,Cash,SP015,Bruce Olsen,"Washingtonborough, United Kingdom",10975
Toyota Corolla,India,Hyderabad,42717,5,213585,2038-03-27,CUST04908,Melissa Hart,19,Female,Ford,Honda Civic,2015,Minivan,Cash,SP040,Jack Green,"Brianborough, Northern Mariana Islands",9669
Ford Focus,Canada,Ottawa,69694,6,418164,2038-03-28,CUST04909,Edwin Robles,45,Male,Mercedes,Chevrolet Malibu,2022,Minivan,Bank Transfer,SP048,Meredith Snow,"Joshuabury, United States Virgin Islands",13131
Nissan Altima,Japan,Osaka,57572,5,287860,2038-03-29,CUST04910,Daniel Malone,59,Non-binary,Ford,Audi A4,2015,Minivan,Cash,SP032,Gary Owens,"Lake Kevin, Pakistan",3272
Nissan Altima,USA,Phoenix,97220,7,680540,2038-03-30,CUST04911,Kyle Harris,21,Male,Hyundai,Chevrolet Malibu,2015,Coupe,Credit Card,SP008,Erik Cooper,"North Kenneth, Latvia",11441
Toyota Corolla,Italy,Turin,37086,8,296688,2038-03-31,CUST04912,Kathryn Ramos,59,Female,Ford,Kia Optima,2005,Coupe,Credit Card,SP078,Jennifer Schneider,"Johnborough, Japan",4893
Honda Civic,USA,Houston,19898,3,59694,2038-04-01,CUST04913,Elizabeth Hudson,41,Female,Honda,Toyota Corolla,2000,Hatchback,Cash,SP075,Stacey Miller,"East Cindy, El Salvador",6252
Kia Optima,France,Paris,24410,6,146460,2038-04-02,CUST04914,Dr. Jeffrey Graham MD,24,Non-binary,Kia,Ford Focus,2009,Minivan,Bank Transfer,SP009,Ronald Chang,"West Wendy, Svalbard & Jan Mayen Islands",1540
Audi A4,France,Toulouse,37095,7,259665,2038-04-03,CUST04915,Kathleen Patel,30,Non-binary,Kia,Nissan Altima,2012,Hatchback,Cash,SP057,Chelsey Clayton,"Powellton, Hungary",12488
Kia Optima,Canada,Toronto,53645,8,429160,2038-04-04,CUST04916,Danielle Thomas,28,Male,BMW,Kia Optima,2022,Minivan,Bank Transfer,SP072,Christina Miller,"New Scotttown, Solomon Islands",9659
BMW 3 Series,UK,Manchester,27450,8,219600,2038-04-05,CUST04917,Cynthia Brown,38,Non-binary,Kia,Nissan Altima,2009,Hatchback,Bank Transfer,SP046,Mrs. Christina Hill,"Port Robert, Hong Kong",8299
Audi A4,Italy,Rome,95873,5,479365,2038-04-06,CUST04918,James Jones,71,Female,Ford,Hyundai Elantra,2016,Convertible,Lease,SP037,Nathan Diaz,"West Johnmouth, Spain",5379
Audi A4,China,Guangzhou,23729,5,118645,2038-04-07,CUST04919,Jared Pope,59,Male,Toyota,Hyundai Elantra,2002,Convertible,Credit Card,SP014,Ronald Jones,"West Ralph, Guatemala",14578
Kia Optima,India,Chennai,23210,5,116050,2038-04-08,CUST04920,Jeffrey Terry,32,Female,Nissan,Audi A4,2010,Truck,Credit Card,SP077,Benjamin Russell,"Wesleymouth, Uganda",8296
Kia Optima,China,Shenzhen,41178,9,370602,2038-04-09,CUST04921,Misty Clark,65,Female,Toyota,Nissan Altima,2006,Coupe,Cash,SP035,Courtney Brown,"Port Brianview, Lesotho",8415
Nissan Altima,Australia,Melbourne,14463,5,72315,2038-04-10,CUST04922,Jessica Shields,25,Non-binary,Nissan,Honda Civic,2007,Truck,Lease,SP050,Margaret Johnson,"West Michelle, Antigua and Barbuda",11768
Audi A4,Italy,Milan,78183,10,781830,2038-04-11,CUST04923,Tina Harris,28,Female,BMW,Ford Focus,2009,Sedan,Bank Transfer,SP046,Renee Elliott,"Georgeshire, Swaziland",1370
BMW 3 Series,Germany,Frankfurt,20080,9,180720,2038-04-12,CUST04924,Chase Lee,35,Female,Chevrolet,Ford Focus,2016,Convertible,Credit Card,SP017,Trevor Yoder,"Nicholsonport, Togo",2945
Nissan Altima,Canada,Vancouver,70892,8,567136,2038-04-13,CUST04925,George Morales,24,Female,Audi,Audi A4,2014,Hatchback,Cash,SP019,Kevin Smith,"East Ronnie, Albania",8973
Honda Civic,USA,New York,22114,3,66342,2038-04-14,CUST04926,Luke Olsen,57,Female,Chevrolet,Toyota Corolla,2001,Minivan,Cash,SP026,Andrew Johnson,"Susanbury, Cook Islands",1672
Mercedes C-Class,UK,Leeds,38804,4,155216,2038-04-15,CUST04927,John Bennett,62,Male,BMW,BMW 3 Series,2015,Hatchback,Credit Card,SP096,Brandon Mcclain,"East Aliciaview, Hungary",14959
Hyundai Elantra,UK,London,81269,5,406345,2038-04-16,CUST04928,Wayne Sanchez,65,Male,Hyundai,Ford Focus,2005,Coupe,Bank Transfer,SP082,Justin Branch,"Port Audreyburgh, Palau",1084
Hyundai Elantra,USA,New York,27811,3,83433,2038-04-17,CUST04929,Bruce Rivera,32,Female,Chevrolet,Mercedes C-Class,2016,Sedan,Lease,SP043,Anna Hinton,"East Kristiside, South Africa",625
Nissan Altima,USA,Phoenix,82800,8,662400,2038-04-18,CUST04930,Dr. Carrie Butler,21,Male,Hyundai,Chevrolet Malibu,2012,Hatchback,Bank Transfer,SP059,Breanna Jackson,"Vickiton, Netherlands",13466
Hyundai Elantra,Japan,Nagoya,67656,4,270624,2038-04-19,CUST04931,Evan Graham,28,Non-binary,Hyundai,Toyota Corolla,2023,SUV,Lease,SP020,Luke Thompson,"East Rhonda, Micronesia",3734
Hyundai Elantra,Japan,Yokohama,17391,8,139128,2038-04-20,CUST04932,Elizabeth Myers,44,Female,Mercedes,Chevrolet Malibu,2015,Sedan,Bank Transfer,SP079,Gabriel Scott,"East Annette, Sierra Leone",4171
Chevrolet Malibu,Italy,Naples,13508,4,54032,2038-04-21,CUST04933,Natalie Jackson,52,Female,Chevrolet,BMW 3 Series,2023,Sedan,Lease,SP016,Pamela Johnson,"East Lisafurt, Tokelau",2157
Ford Focus,France,Toulouse,17134,2,34268,2038-04-22,CUST04934,Jessica Gomez,32,Female,Audi,Honda Civic,2015,Truck,Credit Card,SP050,Rebecca Stanley,"East Davidhaven, Honduras",11629
Ford Focus,Canada,Vancouver,21572,8,172576,2038-04-23,CUST04935,John Medina,44,Non-binary,Nissan,Honda Civic,2001,Convertible,Credit Card,SP060,Alyssa Carney,"North Amandaburgh, Haiti",2546
Toyota Corolla,France,Nice,51725,7,362075,2038-04-24,CUST04936,Lori Davenport,67,Non-binary,Audi,BMW 3 Series,2014,Minivan,Cash,SP029,Leslie Chavez,"South Cliffordshire, Central African Republic",4225
Kia Optima,Australia,Adelaide,92474,7,647318,2038-04-25,CUST04937,Megan Moore,58,Female,Toyota,Toyota Corolla,2002,Hatchback,Bank Transfer,SP040,Edward Perry,"Martinshire, Bolivia",11172
Honda Civic,UK,Manchester,35056,3,105168,2038-04-26,CUST04938,James Curtis,36,Female,Kia,Mercedes C-Class,2018,Minivan,Credit Card,SP022,Daniel Clayton,"Gabrielafort, Swaziland",14712
Hyundai Elantra,Italy,Palermo,15139,7,105973,2038-04-27,CUST04939,Mrs. Vanessa Wade PhD,27,Non-binary,Mercedes,Mercedes C-Class,2005,Convertible,Cash,SP049,Cheryl Stewart,"West Darrell, Singapore",6296
Honda Civic,Germany,Hamburg,62134,3,186402,2038-04-28,CUST04940,Mike Fox,25,Male,Audi,Hyundai Elantra,2004,Minivan,Credit Card,SP044,Amanda Holland,"Normanburgh, Kuwait",9088
Nissan Altima,Canada,Montreal,63661,2,127322,2038-04-29,CUST04941,Charles Paul,18,Male,BMW,Honda Civic,2022,Truck,Credit Card,SP094,Darren Vazquez,"Lorraineview, Oman",14614
Chevrolet Malibu,Germany,Frankfurt,94665,5,473325,2038-04-30,CUST04942,Kyle Hampton,22,Non-binary,BMW,Ford Focus,2018,Hatchback,Credit Card,SP061,Ethan Santiago,"East Sarafurt, Netherlands Antilles",11623
Mercedes C-Class,Canada,Calgary,41964,10,419640,2038-05-01,CUST04943,Alicia Warren,66,Non-binary,BMW,Audi A4,2002,Truck,Lease,SP003,Olivia Knight,"Halemouth, Romania",1125
Honda Civic,Australia,Melbourne,56329,8,450632,2038-05-02,CUST04944,Frank Peters,75,Non-binary,Toyota,Audi A4,2019,Hatchback,Bank Transfer,SP027,Patricia Webster,"Woodardstad, Lebanon",2703
Mercedes C-Class,Italy,Naples,18303,3,54909,2038-05-03,CUST04945,Christine Smith,40,Male,Toyota,Mercedes C-Class,2000,Hatchback,Bank Transfer,SP013,Joshua Payne,"Robertmouth, Guatemala",7308
Ford Focus,France,Nice,14087,8,112696,2038-05-04,CUST04946,Carl Barrera,75,Non-binary,Honda,Ford Focus,2005,SUV,Bank Transfer,SP068,Maureen Castillo,"Stephaniestad, Iceland",11457
Nissan Altima,Italy,Milan,95456,10,954560,2038-05-05,CUST04947,David Castillo,44,Male,Audi,Audi A4,2011,Convertible,Lease,SP070,Michele Kim,"Lake Derek, Swaziland",2588
BMW 3 Series,Italy,Naples,32677,7,228739,2038-05-06,CUST04948,Whitney Johnson,35,Male,BMW,Chevrolet Malibu,2009,Convertible,Credit Card,SP087,Kimberly Levine,"Jamesland, Bulgaria",8409
Honda Civic,China,Chongqing,71862,4,287448,2038-05-07,CUST04949,Theresa Estrada,27,Non-binary,Honda,Toyota Corolla,2023,Convertible,Bank Transfer,SP013,Tina Lee,"Samuelport, Yemen",11443
Kia Optima,China,Chongqing,69652,8,557216,2038-05-08,CUST04950,Joseph Wilson,49,Non-binary,BMW,Toyota Corolla,2007,Truck,Credit Card,SP100,William Camacho III,"Deborahmouth, Mali",14221
Chevrolet Malibu,Japan,Tokyo,31797,7,222579,2038-05-09,CUST04951,Nicole Cox DDS,25,Non-binary,Kia,Honda Civic,2015,Hatchback,Bank Transfer,SP093,Vanessa Rodriguez,"New Feliciaburgh, Sri Lanka",13379
Ford Focus,Canada,Calgary,49833,4,199332,2038-05-10,CUST04952,Jose Davis,48,Non-binary,Kia,Toyota Corolla,2003,Sedan,Bank Transfer,SP096,Brian Richmond,"Lake William, Indonesia",2414
Audi A4,Japan,Nagoya,21452,10,214520,2038-05-11,CUST04953,Stephanie Grimes,67,Male,Audi,Audi A4,2017,Convertible,Lease,SP078,Justin Gomez,"Watkinsmouth, Benin",3188
BMW 3 Series,UK,Manchester,18329,4,73316,2038-05-12,CUST04954,Donna Cruz,73,Non-binary,Kia,Hyundai Elantra,2018,Convertible,Cash,SP067,Daniel Sullivan,"Lake Kathy, New Caledonia",10953
Chevrolet Malibu,Japan,Yokohama,58694,10,586940,2038-05-13,CUST04955,Erin Boyer,57,Non-binary,Hyundai,Honda Civic,2013,Coupe,Cash,SP045,Lauren Davis,"North Gloriaville, Bulgaria",8428
BMW 3 Series,France,Nice,60901,3,182703,2038-05-14,CUST04956,Jessica Smith,50,Non-binary,Chevrolet,Hyundai Elantra,2021,Truck,Cash,SP004,Nathan Stanley,"Lake Benjaminmouth, Nigeria",10657
Hyundai Elantra,Australia,Sydney,65262,1,65262,2038-05-15,CUST04957,Donald Thompson,65,Male,BMW,Nissan Altima,2018,Coupe,Cash,SP013,Andrea Richardson,"Lake Codyton, Guinea",13495
BMW 3 Series,USA,Los Angeles,60628,9,545652,2038-05-16,CUST04958,Gary Bradley,65,Male,Nissan,Nissan Altima,2000,SUV,Bank Transfer,SP068,Anna Robles,"South Edward, Grenada",660
BMW 3 Series,UK,Leeds,11003,5,55015,2038-05-17,CUST04959,Brooke Martin,25,Female,Toyota,Hyundai Elantra,2013,Coupe,Lease,SP021,Sherri James,"Port Sandyberg, Chad",10873
Nissan Altima,Italy,Palermo,60686,2,121372,2038-05-18,CUST04960,Christopher Blevins,45,Female,BMW,Hyundai Elantra,2001,Coupe,Lease,SP073,Latoya Hayes,"Markmouth, Jersey",503
Kia Optima,China,Shanghai,45911,1,45911,2038-05-19,CUST04961,Charlotte Love,43,Male,Ford,Hyundai Elantra,2020,Convertible,Lease,SP016,Robin Jackson,"Port Michaelport, Cocos (Keeling) Islands",7317
BMW 3 Series,Italy,Rome,26713,6,160278,2038-05-20,CUST04962,Christopher Fields,48,Female,Audi,Audi A4,2013,Minivan,Cash,SP004,Steven Scott,"Danielstad, Argentina",664
Kia Optima,Canada,Toronto,94966,8,759728,2038-05-21,CUST04963,Tracy Wall,53,Female,Kia,Mercedes C-Class,2002,Sedan,Lease,SP096,James Hernandez,"West Michael, United States Virgin Islands",5385
Kia Optima,Canada,Calgary,69649,3,208947,2038-05-22,CUST04964,Andrew Schroeder,40,Male,Nissan,Hyundai Elantra,2002,Convertible,Credit Card,SP001,Ruben Malone,"Tammyberg, Grenada",11874
Mercedes C-Class,Italy,Milan,20828,9,187452,2038-05-23,CUST04965,David Clark,55,Female,Honda,Ford Focus,2015,Coupe,Credit Card,SP075,Megan Simpson,"Guerraview, Gambia",5556
Hyundai Elantra,USA,Chicago,83265,1,83265,2038-05-24,CUST04966,Dillon Diaz,52,Non-binary,Chevrolet,Chevrolet Malibu,2014,Hatchback,Bank Transfer,SP073,Joshua Morgan,"West Davidtown, France",9851
Hyundai Elantra,France,Lyon,73852,1,73852,2038-05-25,CUST04967,Patrick Scott,44,Female,Mercedes,Audi A4,2015,Convertible,Credit Card,SP007,Jennifer Shepard,"Wallaceside, India",1805
Ford Focus,India,Bangalore,80378,5,401890,2038-05-26,CUST04968,Elizabeth Barber,29,Male,Mercedes,Kia Optima,2019,SUV,Cash,SP100,Richard Gordon,"Kellytown, Equatorial Guinea",11717
Toyota Corolla,USA,Chicago,32052,3,96156,2038-05-27,CUST04969,Ariana Freeman,55,Female,Mercedes,Hyundai Elantra,2005,SUV,Credit Card,SP088,Laura Decker,"Phillipstown, Sudan",8482
Toyota Corolla,France,Nice,49448,7,346136,2038-05-28,CUST04970,Ariel Lucas,53,Non-binary,BMW,Hyundai Elantra,2022,Coupe,Cash,SP079,Brandy Campbell,"Oliviaside, Norway",9200
Honda Civic,UK,Birmingham,85332,2,170664,2038-05-29,CUST04971,Cindy Nguyen,25,Non-binary,Ford,Audi A4,2001,Hatchback,Credit Card,SP075,Stephanie Wyatt,"South Kaylatown, Saudi Arabia",5732
Audi A4,China,Guangzhou,96678,5,483390,2038-05-30,CUST04972,Megan Davis,72,Non-binary,Mercedes,Chevrolet Malibu,2000,SUV,Credit Card,SP014,Kenneth Berry,"New Amberhaven, Maldives",14052
Audi A4,Italy,Rome,49640,2,99280,2038-05-31,CUST04973,Harold Fischer,41,Non-binary,Hyundai,Chevrolet Malibu,2002,Hatchback,Bank Transfer,SP097,Robin Mcdonald,"South Tom, Israel",7995
Ford Focus,France,Lyon,23265,4,93060,2038-06-01,CUST04974,Jonathan Brown,29,Male,Mercedes,Chevrolet Malibu,2004,Truck,Bank Transfer,SP086,Robert Johnson,"Christinachester, Bolivia",13649
Mercedes C-Class,USA,Los Angeles,10645,6,63870,2038-06-02,CUST04975,Colton Parks,57,Male,Nissan,Hyundai Elantra,2004,Convertible,Cash,SP086,Alexander Hansen,"Patriciaton, Central African Republic",12000
Toyota Corolla,Germany,Hamburg,38350,3,115050,2038-06-03,CUST04976,Wendy Ashley,24,Female,Ford,Toyota Corolla,2015,SUV,Bank Transfer,SP095,Susan Garcia,"Ponceton, Mozambique",4023
Kia Optima,Japan,Nagoya,73526,4,294104,2038-06-04,CUST04977,Bryan Vazquez,61,Female,Honda,Mercedes C-Class,2003,Coupe,Bank Transfer,SP063,Bianca Johnson,"Gillfort, Netherlands",9979
Audi A4,Germany,Frankfurt,80010,4,320040,2038-06-05,CUST04978,Kevin Nichols,59,Female,Kia,Hyundai Elantra,2009,Minivan,Lease,SP010,Susan Smith,"Victoriastad, Denmark",3966
Audi A4,Germany,Berlin,59987,5,299935,2038-06-06,CUST04979,Brenda Mckee,62,Non-binary,Chevrolet,Hyundai Elantra,2001,Hatchback,Cash,SP042,James Sparks,"North Laura, Lebanon",11589
Chevrolet Malibu,France,Nice,16817,1,16817,2038-06-07,CUST04980,Richard Ball,60,Female,Kia,Toyota Corolla,2018,Coupe,Credit Card,SP097,Christopher Reynolds,"Mitchellbury, Reunion",8841
Toyota Corolla,Canada,Toronto,31933,4,127732,2038-06-08,CUST04981,Rhonda Chen,26,Non-binary,Chevrolet,BMW 3 Series,2019,SUV,Bank Transfer,SP044,Jennifer Parker,"Suzanneland, Libyan Arab Jamahiriya",1427
Kia Optima,China,Beijing,75904,10,759040,2038-06-09,CUST04982,Jordan Day,49,Male,Hyundai,Honda Civic,2021,Convertible,Bank Transfer,SP067,Peter Bell,"Lake Molly, Niue",12448
Chevrolet Malibu,Australia,Melbourne,58826,5,294130,2038-06-10,CUST04983,Jeffrey Pace,63,Non-binary,Kia,Kia Optima,2014,Minivan,Lease,SP040,Samuel Owens,"Lake Amyfort, Tuvalu",6078
Mercedes C-Class,Canada,Calgary,67646,6,405876,2038-06-11,CUST04984,Nicole Davis,42,Non-binary,Honda,Ford Focus,2012,Coupe,Credit Card,SP029,Nicole Dickson,"Stevensonton, China",11630
Mercedes C-Class,France,Marseille,97773,1,97773,2038-06-12,CUST04985,Katherine Monroe,55,Male,Toyota,Nissan Altima,2013,Sedan,Bank Transfer,SP033,Chloe Carter,"Gonzalezshire, Cocos (Keeling) Islands",6132
Toyota Corolla,UK,Leeds,47496,8,379968,2038-06-13,CUST04986,Stacy Collins,32,Non-binary,Honda,Kia Optima,2005,Truck,Lease,SP020,Kayla Mitchell,"New Christian, Tajikistan",11054
Mercedes C-Class,France,Paris,59557,6,357342,2038-06-14,CUST04987,Jessica Henderson,29,Non-binary,Audi,Mercedes C-Class,2007,Minivan,Cash,SP068,Billy Zamora,"North Maryfort, Malawi",14784
BMW 3 Series,China,Chongqing,11804,7,82628,2038-06-15,CUST04988,Katherine Harris,35,Female,Toyota,Nissan Altima,2006,Coupe,Credit Card,SP091,Briana Carter,"Lindatown, Norway",12144
Mercedes C-Class,China,Beijing,15265,6,91590,2038-06-16,CUST04989,Peter Chandler,52,Male,Nissan,BMW 3 Series,2006,Hatchback,Lease,SP034,Angel Payne,"Janiceberg, Aruba",7358
Hyundai Elantra,Japan,Osaka,58182,5,290910,2038-06-17,CUST04990,Erin Tran,50,Female,Chevrolet,Honda Civic,2006,Truck,Lease,SP047,Blake Leon,"Myersberg, Australia",11256
BMW 3 Series,France,Paris,77972,9,701748,2038-06-18,CUST04991,Justin Peck,19,Female,Chevrolet,Hyundai Elantra,2018,Truck,Bank Transfer,SP087,Gabrielle Lewis,"Downstown, Luxembourg",3050
Nissan Altima,Germany,Frankfurt,35189,4,140756,2038-06-19,CUST04992,Robert Johnson,58,Female,Mercedes,Mercedes C-Class,2004,Truck,Lease,SP043,Brian Riley,"Jenningsberg, Montenegro",6892
Chevrolet Malibu,Canada,Ottawa,66579,3,199737,2038-06-20,CUST04993,Todd Smith,69,Female,Audi,Nissan Altima,2007,Truck,Bank Transfer,SP055,Timothy Mendoza,"Port Brandonbury, Netherlands",13713
BMW 3 Series,UK,Manchester,99265,8,794120,2038-06-21,CUST04994,Joseph Knapp,66,Male,BMW,Kia Optima,2006,Truck,Cash,SP060,Kirk Robinson,"West Miranda, Barbados",966
Toyota Corolla,Italy,Naples,31830,10,318300,2038-06-22,CUST04995,James Peterson,36,Non-binary,BMW,BMW 3 Series,2004,Minivan,Credit Card,SP084,Kenneth Richards,"South Katherine, Uruguay",7080
Kia Optima,Japan,Sapporo,96646,7,676522,2038-06-23,CUST04996,Glenn Wagner,31,Male,Kia,Ford Focus,2021,Hatchback,Lease,SP051,Nancy Levy,"Sanchezport, Gabon",5740
Nissan Altima,Japan,Nagoya,74685,7,522795,2038-06-24,CUST04997,Angela Young,34,Non-binary,Kia,Chevrolet Malibu,2018,Hatchback,Lease,SP030,Mark Robles,"Port Erin, American Samoa",4024
Toyota Corolla,USA,Chicago,53158,2,106316,2038-06-25,CUST04998,Angela Flowers,64,Female,Honda,Kia Optima,2022,Hatchback,Lease,SP034,Richard Singleton,"South Ericashire, Paraguay",5909
Honda Civic,India,Hyderabad,54502,1,54502,2038-06-26,CUST04999,Kimberly Bradley,64,Non-binary,Honda,Hyundai Elantra,2007,Sedan,Cash,SP096,Veronica Jacobs,"Jonesberg, Myanmar",10338
Hyundai Elantra,China,Guangzhou,29467,10,294670,2038-06-27,CUST05000,Danny Olson,21,Non-binary,Audi,Audi A4,2017,Hatchback,Lease,SP029,Jamie Bennett,"Port Aprilstad, Senegal",13530
Mercedes C-Class,India,Chennai,61327,9,551943,2038-06-28,CUST05001,Mark Roberson,29,Non-binary,Audi,Kia Optima,2005,Sedan,Bank Transfer,SP100,Raymond Mills,"North Jessicatown, Isle of Man",9056
Mercedes C-Class,China,Shanghai,27280,4,109120,2038-06-29,CUST05002,Vanessa Miller,38,Male,Chevrolet,Chevrolet Malibu,2002,SUV,Credit Card,SP007,Rebecca Holt,"South Christineville, British Virgin Islands",14902
Nissan Altima,UK,London,75947,3,227841,2038-06-30,CUST05003,Brianna Bell,29,Female,Mercedes,Ford Focus,2011,Truck,Cash,SP038,Lynn Mitchell,"Lake Jamesville, Vietnam",13983
Chevrolet Malibu,Australia,Adelaide,77840,6,467040,2038-07-01,CUST05004,Rickey Brown,61,Non-binary,BMW,Chevrolet Malibu,2020,Hatchback,Bank Transfer,SP056,Joseph Smith,"Sonyaview, Vanuatu",5530
Kia Optima,India,Chennai,99698,7,697886,2038-07-02,CUST05005,Patrick Sloan,58,Female,Honda,Honda Civic,2021,SUV,Lease,SP032,Kenneth Walker,"Lake Angela, Zambia",4648
Audi A4,Australia,Perth,25000,1,25000,2038-07-03,CUST05006,Cindy Long,50,Female,Honda,Hyundai Elantra,2009,SUV,Cash,SP045,Andrea Hicks,"Lauramouth, Niue",13309
